City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,inhambane,-23.865,35.3833,19.02,89,66,2.33,MZ,1686624430
193,smara,26.7384,-11.6719,20.28,84,15,4.98,EH,1686624354
194,pisco,-13.7,-76.2167,20.03,77,2,3.09,PE,1686624103
195,lata,40.1629,-8.3327,18.37,98,99,1.72,PT,1686624228
196,santa ana,33.7456,-117.8678,20.48,76,75,3.6,US,1686623868
197,biltine,14.5333,20.9167,27.93,58,72,6.25,TD,1686624359
198,santa cruz,-17.8,-63.1667,13.7,54,100,9.26,BO,1686624015
199,ulladulla,-35.35,150.4667,19.37,42,100,4.25,AU,1686624224
200,bam,29.106,58.357,32.56,15,0,5.68,IR,1686624431
201,laguna,38.421,-121.4238,25.64,58,100,5.14,US,1686624044
202,gubkinskiy,64.434,76.5026,6.69,55,6,8.8,RU,1686624431
203,onguday,50.75,86.15,18.13,49,31,1.06,RU,1686624431
204,ambalangoda,6.2355,80.0538,28.18,79,100,5.63,LK,1686624431
205,mil'kovo,55.6078,37.7956,11.27,74,1,3.2,RU,1686624431
206,new norfolk,-42.7826,147.0587,13.29,78,94,1.37,AU,1686624095
207,dalandzadgad,43.5708,104.425,26.79,17,0,4.6,MN,1686624432
208,alva,56.1528,-3.8051,14.62,93,44,2.01,GB,1686624432
209,coahuayana de hidalgo,18.7,-103.6583,25.1,82,11,0.83,MX,1686624266
210,altai,46.3722,96.2583,13.77,56,82,1.81,MN,1686624267
211,letlhakeng,-24.0944,25.0298,5.61,80,0,3.13,BW,1686624432
212,kaisiadorys,54.8667,24.45,12.54,79,100,2.93,LT,1686624432
213,bredasdorp,-34.5322,20.0403,14.19,75,78,10.56,ZA,1686624101
214,dalbandin,28.8947,64.4101,34.05,11,0,1.62,PK,1686624252
215,nezhinka,51.7676,55.3694,17.09,45,40,6.0,RU,1686624432
216,georgetown,5.4112,100.3354,30.96,79,20,3.6,MY,1686623899
217,nuku'alofa,-21.1333,-175.2,23.19,78,75,0.51,TO,1686624249
218,al ghayzah,16.2079,52.176,28.5,88,100,1.09,YE,1686624433
219,newman,37.3138,-121.0208,28.19,59,51,1.79,US,1686624433
220,badger,64.8,-147.5333,17.14,43,100,7.72,US,1686624239
221,dapa,9.7594,126.0531,29.36,69,100,2.84,PH,1686624433
222,arkalyk,50.2486,66.9114,20.47,57,23,8.26,KZ,1686624433
223,ta`u,-14.2336,-169.5144,27.63,74,61,7.23,AS,1686624269
224,essaouira,31.5125,-9.77,20.72,88,32,4.12,MA,1686624433
225,flying fish cove,-10.4217,105.6791,26.82,83,75,6.69,CX,1686624234
226,san antonio de pale,-1.4014,5.6325,24.33,88,99,3.01,GQ,1686624183
227,dangriga,16.9692,-88.2321,28.98,83,39,4.88,BZ,1686624434
228,mount gambier,-37.8333,140.7667,11.22,84,100,4.77,AU,1686624263
229,ribeira grande,38.5167,-28.7,19.32,97,10,0.45,PT,1686624102
230,mabaruma,8.2,-59.7833,24.54,92,37,1.44,GY,1686624434
231,gambiran satu,-8.3939,114.1464,26.5,77,81,2.82,ID,1686624434
232,forbes,-33.3833,148.0167,17.73,42,3,6.63,AU,1686624434
233,mumford,5.2618,-0.759,24.77,73,54,3.99,GH,1686624434
234,usogorsk,63.4106,48.6872,15.18,74,99,4.0,RU,1686624186
235,trusesti,47.7667,27.0167,12.01,90,100,3.24,RO,1686624435
236,carnarvon,-24.8667,113.6333,19.13,31,0,6.83,AU,1686624121
237,grybow,49.6244,20.948,6.8,97,71,1.02,PL,1686624435
238,guerrero negro,27.9769,-114.0611,16.97,80,53,8.0,MX,1686624142
239,matoury,4.8483,-52.3317,24.98,94,0,0.51,GF,1686624435
240,lamu,-2.2717,40.902,24.12,78,14,5.98,KE,1686624222
241,nema,57.5067,50.5011,11.44,61,5,0.08,RU,1686624255
242,ulanhot,46.0833,122.0833,27.09,35,31,2.23,CN,1686624179
243,areia branca,-4.9561,-37.1369,24.24,83,0,6.54,BR,1686624435
244,ilabaya,-17.4208,-70.5133,15.33,56,12,0.87,PE,1686624435
245,pacific grove,36.6177,-121.9166,16.82,81,40,5.14,US,1686624038
